C:\Users\320052125\casestudy2\Analyser\feereport\src\EditStudent.java,19,	Avoid unused imports such as 'javax.swing.JTextPane'
C:\Users\320052125\casestudy2\Analyser\feereport\src\EditStudent.java,27,	Perhaps 'contentPane' could be replaced by a local variable.
C:\Users\320052125\casestudy2\Analyser\feereport\src\EditStudent.java,187,	The local variable name 'gl_contentPane' doesn't match '[a-z][a-zA-Z0-9]*'
C:\Users\320052125\casestudy2\Analyser\feereport\src\FeeReport.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\FeeReport.java,20,	Perhaps 'contentPane' could be replaced by a local variable.
C:\Users\320052125\casestudy2\Analyser\feereport\src\FeeReport.java,67,	The local variable name 'gl_contentPane' doesn't match '[a-z][a-zA-Z0-9]*'
C:\Users\320052125\casestudy2\Analyser\feereport\src\Student.java,5,	Use one line for each declaration; it enhances code readability.
C:\Users\320052125\casestudy2\Analyser\feereport\src\Student.java,6,	Use one line for each declaration; it enhances code readability.
C:\Users\320052125\casestudy2\Analyser\feereport\src\Student.java,7,	Use one line for each declaration; it enhances code readability.
C:\Users\320052125\casestudy2\Analyser\feereport\src\Student.java,10,	Document empty constructor
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,5,	All methods are static.  Consider using a utility class instead. Alternatively; you could add a private constructor or make the class abstract to silence this warning.
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,5,	The utility class name 'StudentDao' doesn't match '[A-Z][a-zA-Z0-9]+(Utils?|Helper)'
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,10,	Ensure that resources like this Connection object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,11,	Ensure that resources like this PreparedStatement object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,31,	Ensure that resources like this Connection object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,32,	Ensure that resources like this PreparedStatement object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,53,	Ensure that resources like this Connection object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,54,	Ensure that resources like this PreparedStatement object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,55,	Ensure that resources like this ResultSet object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,79,	Ensure that resources like this Connection object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,80,	Ensure that resources like this PreparedStatement object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,82,	Ensure that resources like this ResultSet object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,104,	Ensure that resources like this Connection object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,105,	Ensure that resources like this PreparedStatement object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\StudentDao.java,106,	Ensure that resources like this ResultSet object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\ViewAccountant.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\ViewAccountant.java,8,	Avoid unused imports such as 'javax.swing.JPanel'
C:\Users\320052125\casestudy2\Analyser\feereport\src\ViewAccountant.java,11,	Avoid unused imports such as 'javax.swing.border.EmptyBorder'
C:\Users\320052125\casestudy2\Analyser\feereport\src\ViewStudent.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\ViewStudent.java,8,	Avoid unused imports such as 'javax.swing.JPanel'
C:\Users\320052125\casestudy2\Analyser\feereport\src\ViewStudent.java,11,	Avoid unused imports such as 'javax.swing.border.EmptyBorder'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\Accountant.java,5,	Use one line for each declaration; it enhances code readability.
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\Accountant.java,6,	Document empty constructor
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,10,	All methods are static.  Consider using a utility class instead. Alternatively; you could add a private constructor or make the class abstract to silence this warning.
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,10,	The utility class name 'AccountantDao' doesn't match '[A-Z][a-zA-Z0-9]+(Utils?|Helper)'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,22,	Ensure that resources like this Connection object are closed after use
